100
5,16,100
10,20,51
1,10,27
12,7,53
1,19,32
7,15,5
16,9,78
4,16,79
1,8,91
11,4,12
11,14,73
16,20,72
10,8,97
1,20,13
2,17,83
14,12,59
9,3,86
5,11,21
9,7,89
12,11,58
10,12,17
11,16,5
8,13,44
19,19,53
2,7,89
18,2,36
16,18,77
2,15,32
19,3,5
5,15,17
9,8,21
5,9,96
11,13,22
2,3,48
7,15,5
12,4,66
17,12,9
1,16,22
7,16,16
15,1,78
5,17,83
12,17,58
4,16,10
15,18,38
6,9,34
13,8,63
3,16,65
12,18,94
13,19,76
19,15,17
5,15,18
9,1,93
10,7,7
5,2,69
15,18,71
13,15,75
9,1,98
11,5,7
17,6,98
13,3,65
16,16,53
2,15,70
4,3,11
18,9,31
16,17,45
18,3,87
10,10,68
19,5,6
12,8,49
8,11,67
11,6,26
3,1,25
19,8,3
3,6,47
9,17,65
20,3,74
1,1,73
5,16,8
13,19,20
9,11,25
4,8,13
17,17,85
4,1,52
15,7,55
20,6,39
9,14,31
7,20,100
16,15,55
16,20,59
15,17,20
12,13,63
10,15,19
4,11,68
20,1,79
20,18,57
19,2,83
8,2,74
20,18,61
19,19,19
3,7,23
