150
140,118,526
166,35,519
134,67,229
163,188,519
140,78,648
179,20,161
99,149,270
20,27,654
103,141,832
13,21,787
17,182,213
8,35,382
52,53,913
63,150,477
99,127,285
24,68,637
122,71,473
147,137,366
35,145,385
190,35,827
90,113,110
166,36,799
80,104,704
117,23,639
9,0,244
107,40,475
141,27,194
103,124,116
29,41,838
11,147,293
138,176,186
49,188,641
35,117,698
18,75,276
122,156,212
52,85,770
127,160,571
124,67,349
34,183,472
12,76,961
146,82,207
58,177,228
7,135,881
177,200,805
108,142,784
34,157,164
52,10,844
146,154,111
13,195,909
137,53,570
18,110,898
133,184,147
151,152,435
42,84,949
171,146,294
7,185,185
28,146,361
142,74,826
154,165,789
135,193,818
175,156,765
112,30,367
118,147,366
34,78,759
99,112,367
155,179,403
60,96,382
33,121,200
39,54,565
20,154,901
41,130,388
164,30,335
163,52,368
40,127,319
191,174,182
94,152,272
153,133,160
17,164,291
137,195,117
38,105,427
165,182,100
42,172,612
15,85,309
200,183,292
2,108,606
91,142,228
64,62,690
167,114,208
121,179,365
81,29,580
127,19,815
22,158,378
145,184,635
187,31,810
121,66,956
90,157,731
38,40,608
127,115,785
8,175,701
142,41,909
76,21,112
36,40,541
36,110,644
100,62,981
117,31,761
48,80,669
87,192,128
175,76,266
157,131,337
117,88,689
54,20,613
141,62,237
38,85,707
106,165,309
60,0,886
58,116,339
59,17,943
24,115,248
92,78,562
95,178,472
99,97,790
4,119,349
63,24,339
107,42,646
23,109,282
1,118,664
188,76,402
18,65,870
74,83,404
87,83,606
191,164,191
59,45,130
52,189,958
199,29,479
44,182,798
135,114,399
40,14,554
48,149,124
151,73,283
31,99,780
199,21,672
146,162,449
42,77,934
158,57,937
16,13,189
142,126,376
75,49,274
124,82,553
43,3,679
44,198,308
