100
13,12,82
12,13,7
7,17,51
20,19,98
5,19,56
13,9,14
7,4,29
7,7,47
9,1,52
4,3,22
15,19,12
12,12,54
14,1,22
1,5,4
14,10,18
5,1,91
2,11,71
9,4,77
13,1,46
14,12,62
19,14,39
12,3,87
19,1,23
14,17,40
10,4,96
7,20,15
11,15,51
14,13,95
19,19,13
14,10,34
12,12,10
7,19,59
2,1,58
5,9,33
19,18,88
3,10,65
9,20,32
17,11,78
1,11,27
8,2,100
10,1,81
7,8,38
4,15,73
13,20,56
18,7,11
18,2,34
13,10,37
7,8,36
17,10,57
16,19,76
12,1,40
8,11,62
5,5,3
20,10,20
4,15,11
6,17,78
11,20,45
20,11,56
3,2,30
19,2,24
5,10,47
8,13,89
13,4,63
3,11,6
11,18,26
18,8,33
17,12,3
3,4,34
10,14,18
8,15,71
13,10,64
16,19,14
13,15,70
14,4,61
19,4,73
3,16,89
7,15,27
19,5,91
10,14,4
1,9,81
16,6,21
16,9,9
2,17,76
10,2,7
14,20,71
18,8,94
19,17,71
5,4,36
6,18,79
18,14,54
8,10,70
19,14,64
19,13,10
14,5,9
6,19,98
8,20,40
7,3,92
18,1,81
18,11,69
11,11,76
