98
40,83,25
58,2,35
40,44,14
17,22,69
59,52,61
10,2,39
88,50,83
55,52,40
45,76,98
90,40,44
69,63,59
13,53,44
49,70,78
15,72,69
85,51,80
62,93,14
86,98,94
23,96,48
76,44,64
23,70,15
89,28,11
79,93,64
77,66,66
60,66,51
4,45,71
49,91,62
93,26,37
75,42,50
41,16,28
20,30,88
55,52,32
91,55,31
33,21,29
83,13,19
95,1,100
51,9,22
9,64,75
52,92,52
5,69,45
43,51,11
13,4,30
99,19,94
21,60,18
75,14,3
8,75,74
41,71,62
13,48,52
1,89,71
83,61,60
1,9,39
80,67,61
32,60,68
95,4,92
2,60,59
77,86,90
33,85,94
71,85,5
34,93,2
46,83,97
29,27,52
3,73,23
19,70,30
87,88,99
25,53,70
59,82,71
34,47,19
41,17,46
85,82,76
50,24,76
20,20,39
36,77,8
12,47,92
95,75,46
49,86,30
17,1,44
89,77,38
3,87,42
21,87,19
97,70,85
79,64,50
54,78,21
12,56,13
6,50,40
83,87,19
96,99,72
57,76,9
82,15,38
52,97,82
78,26,82
91,30,23
44,41,21
59,3,46
85,96,63
36,67,21
25,33,73
78,59,95
11,64,32
6,58,16
