100
16,11,88
6,8,64
19,3,39
7,13,50
9,17,45
20,4,99
12,6,51
9,9,6
17,3,3
1,6,72
8,20,57
4,15,34
10,4,13
5,12,36
20,5,91
19,4,94
14,6,12
3,12,14
10,12,69
1,12,84
17,11,75
3,9,81
15,2,35
19,4,1
15,2,29
7,9,24
16,5,97
15,17,27
5,12,54
20,10,65
6,17,77
9,1,31
6,10,87
9,10,42
8,14,18
10,4,5
20,4,38
14,18,21
14,9,20
7,19,69
5,7,42
8,17,81
9,1,61
18,15,6
19,7,65
13,4,44
16,12,59
16,19,28
20,3,63
18,13,95
17,15,28
11,17,82
1,9,97
11,1,3
7,19,59
5,6,21
18,5,54
7,19,22
15,13,32
9,12,49
13,16,64
11,18,37
12,3,6
8,7,61
2,16,99
12,9,39
16,3,66
19,2,80
11,19,6
1,17,83
4,19,51
11,4,29
7,2,10
18,3,33
4,6,53
13,10,14
1,15,67
6,18,99
19,19,23
7,2,71
1,1,7
18,4,20
20,4,22
20,16,78
4,11,52
2,5,5
20,4,63
19,10,37
19,13,79
15,19,41
2,7,97
19,2,22
9,13,52
4,15,28
9,6,87
4,14,96
5,12,24
10,16,90
16,10,92
18,8,33
