92
49,64,9
66,32,55
54,52,36
95,46,54
10,82,35
10,72,20
33,92,99
95,75,21
96,89,94
71,52,43
85,38,42
30,69,56
4,86,72
13,5,99
94,51,55
81,67,11
47,40,71
98,92,13
30,81,56
71,95,48
93,83,44
82,20,43
4,21,91
8,90,83
76,14,73
54,57,36
80,85,40
58,38,34
23,6,16
18,65,52
70,51,72
94,90,18
13,44,72
12,92,60
79,4,32
3,19,72
25,15,27
51,31,86
54,30,63
87,55,84
53,45,24
80,88,95
91,4,8
65,64,26
78,23,62
34,89,80
36,79,10
1,18,50
63,8,94
1,50,85
65,85,38
48,4,18
54,48,31
58,23,64
66,84,15
80,43,78
73,22,22
99,83,6
88,27,71
42,50,40
55,13,91
20,43,23
19,57,49
19,3,84
52,43,9
63,51,75
23,73,81
92,67,97
29,73,53
18,89,80
17,46,56
97,39,24
78,92,75
55,14,14
27,56,13
28,34,78
88,96,72
89,28,52
56,77,16
68,15,61
88,99,64
71,74,52
73,58,53
1,74,88
1,62,34
82,18,21
5,34,43
76,50,23
23,76,4
37,90,80
47,13,29
82,6,79
